Name,Programming Languages,Project Interests,Personality Traits
Gladys Merrifield,"[9, 2, 3]","[3, 10, 4]","[4, 1, 3, 4, 2]"
Charles Flores,"[6, 4, 8]","[1, 1, 10]","[3, 4, 3, 4, 3]"
Carolyn Thompson,"[7, 2, 10]","[5, 7, 7]","[2, 2, 4, 1, 5]"
Rick Noh,"[10, 1, 8]","[10, 6, 6]","[2, 3, 3, 2, 2]"
Esteban Smith,"[6, 2, 3]","[6, 7, 2]","[1, 5, 4, 4, 5]"
Jack Hessler,"[3, 10, 1]","[9, 8, 2]","[2, 3, 1, 5, 5]"
Michael Moore,"[7, 9, 10]","[3, 3, 5]","[2, 1, 2, 4, 3]"
Mandy Williams,"[10, 6, 8]","[10, 7, 2]","[2, 3, 2, 1, 1]"
Letha Berryman,"[1, 7, 5]","[3, 2, 4]","[2, 1, 5, 2, 3]"
Eric Lunsford,"[8, 9, 6]","[8, 5, 1]","[4, 1, 1, 5, 3]"
Carolyn Williams,"[2, 6, 2]","[9, 9, 10]","[1, 4, 3, 5, 1]"
John Mccage,"[5, 9, 9]","[8, 3, 3]","[4, 1, 4, 4, 2]"
Francisco Morris,"[8, 10, 8]","[4, 9, 1]","[2, 4, 5, 5, 3]"
Earl Curry,"[10, 9, 5]","[7, 5, 2]","[2, 5, 1, 4, 4]"
Ben Wong,"[2, 4, 10]","[4, 6, 6]","[5, 4, 2, 3, 4]"
Mary Benchoff,"[9, 3, 3]","[10, 9, 5]","[3, 1, 4, 4, 5]"
Linda Clark,"[5, 3, 4]","[3, 5, 6]","[5, 1, 3, 4, 3]"
Gary Staples,"[7, 7, 2]","[9, 6, 8]","[5, 5, 4, 1, 4]"
Mollie Gallagher,"[4, 1, 8]","[5, 3, 5]","[5, 5, 4, 3, 1]"
Angela Mcculley,"[5, 5, 1]","[10, 9, 5]","[5, 3, 5, 4, 1]"
Gracie Mckay,"[4, 1, 9]","[7, 7, 1]","[5, 2, 4, 3, 3]"
Karl Smith,"[3, 4, 8]","[4, 8, 1]","[2, 2, 2, 1, 2]"
John Dickerson,"[1, 7, 2]","[3, 3, 7]","[1, 3, 4, 3, 4]"
Charles Carter,"[5, 10, 4]","[8, 5, 3]","[4, 1, 4, 3, 5]"
Ruth Dorow,"[8, 2, 6]","[5, 7, 6]","[4, 4, 4, 2, 3]"
Dean Stice,"[4, 7, 7]","[3, 8, 7]","[1, 4, 5, 2, 5]"
Rodney Roundy,"[8, 1, 1]","[3, 10, 4]","[1, 3, 2, 1, 4]"
Janna Floyd,"[2, 1, 5]","[1, 4, 8]","[5, 2, 4, 4, 3]"
Charity Mckinney,"[2, 8, 5]","[5, 2, 4]","[2, 4, 2, 1, 4]"
John Bunting,"[5, 10, 1]","[9, 7, 4]","[2, 1, 1, 4, 3]"
Charles Clark,"[7, 7, 9]","[1, 10, 4]","[3, 5, 5, 1, 1]"
Judith Fong,"[7, 3, 7]","[1, 2, 6]","[3, 3, 5, 3, 2]"
Henry Alvarez,"[3, 7, 4]","[10, 2, 4]","[3, 4, 4, 5, 4]"
Howard Surratt,"[5, 9, 6]","[5, 3, 1]","[2, 2, 1, 2, 1]"
Cheryl Perez,"[8, 6, 1]","[1, 8, 1]","[1, 4, 1, 5, 5]"
John Bunch,"[8, 5, 6]","[8, 4, 2]","[5, 2, 5, 3, 2]"
Alvaro Horner,"[10, 8, 6]","[6, 4, 10]","[1, 1, 5, 3, 3]"
Irene Gage,"[7, 10, 7]","[8, 2, 8]","[4, 3, 2, 1, 4]"
Patty Wegman,"[1, 5, 10]","[9, 4, 9]","[5, 5, 2, 5, 5]"
